experiment_id,imputation,features,scaler,feature_engineering,model,RMSE,MAPE,R2,RMSE_val,MAPE_val,R2_val,model_path,label
E035,interpolate,domain_itf,minmax,rolling,RF,0.968521716270689,16.822134457745577,-0.06595060760617555,1.1783134350653406,23.891579696104973,-0.7109655715991092,,"Interpolasi Linear + Domain Expert — ITF (7) + MinMaxScaler [0, 1] + Rolling Mean & Std (3, 6)"
E035,interpolate,domain_itf,minmax,rolling,XGBoost,1.0692316748246986,19.22679222449468,-0.299158045341386,1.4760359594018035,30.21286507045251,-1.6848095722983176,,"Interpolasi Linear + Domain Expert — ITF (7) + MinMaxScaler [0, 1] + Rolling Mean & Std (3, 6)"
E036,interpolate,domain_itf,minmax,lag_rolling,RF,1.4913592929667376,29.45410945149314,-1.5274520500571556,1.6999106268513968,36.76935396097621,-2.5609984886979267,,"Interpolasi Linear + Domain Expert — ITF (7) + MinMaxScaler [0, 1] + Lag (1,3) + Rolling (6)"
E036,interpolate,domain_itf,minmax,lag_rolling,XGBoost,1.123322786374506,19.28947465332453,-0.4339284869261224,1.6627150562378994,33.180349677154865,-2.406867713420016,,"Interpolasi Linear + Domain Expert — ITF (7) + MinMaxScaler [0, 1] + Lag (1,3) + Rolling (6)"
E037,interpolate,domain_itf,minmax,diff,RF,1.2710802323223285,21.728612508903897,-0.835964523106385,1.4007444836892124,27.97292351453027,-1.4178950898643259,,"Interpolasi Linear + Domain Expert — ITF (7) + MinMaxScaler [0, 1] + First Difference"
E037,interpolate,domain_itf,minmax,diff,XGBoost,0.9824747990634046,16.117536871886813,-0.09688524434148738,1.5474942372306149,31.262184554099225,-1.9510576416978114,,"Interpolasi Linear + Domain Expert — ITF (7) + MinMaxScaler [0, 1] + First Difference"
E038,interpolate,domain_itf,minmax,interaction,RF,1.6106887851203302,31.040586504581423,-1.8103651862016568,1.7165461090397076,35.57196688967569,-2.7389812180732895,,"Interpolasi Linear + Domain Expert — ITF (7) + MinMaxScaler [0, 1] + Fitur Interaksi Ekonomi"
E038,interpolate,domain_itf,minmax,interaction,XGBoost,1.197345504098686,20.598425674726784,-0.5530250574790374,1.696036351959583,33.53937030989164,-2.6501662820961913,,"Interpolasi Linear + Domain Expert — ITF (7) + MinMaxScaler [0, 1] + Fitur Interaksi Ekonomi"
E039,interpolate,domain_itf,minmax,calendar,RF,1.2516485334444811,22.30096067529189,-0.6970876655639491,1.363802891104575,27.054487043045626,-1.360182303077365,,"Interpolasi Linear + Domain Expert — ITF (7) + MinMaxScaler [0, 1] + Fitur Kalender (Bulan, Kuartal)"
E039,interpolate,domain_itf,minmax,calendar,XGBoost,1.127348515263064,18.620747045943748,-0.3767525252439645,1.6716668715147747,33.13043654359156,-2.5460251201676978,,"Interpolasi Linear + Domain Expert — ITF (7) + MinMaxScaler [0, 1] + Fitur Kalender (Bulan, Kuartal)"
E040,interpolate,domain_itf,minmax,policy_reaction,RF,0.7413472225959886,13.195089122044118,0.3397759295834136,0.9063799373436073,18.709835566787802,0.032314592409519616,,"Interpolasi Linear + Domain Expert — ITF (7) + MinMaxScaler [0, 1] + Fungsi Reaksi Kebijakan (Taylor/ITF) + Persistensi"
E040,interpolate,domain_itf,minmax,policy_reaction,XGBoost,1.1701245714488093,21.85218254484177,-0.6447966866906929,1.1700463506227279,24.432119072642237,-0.6125743854004184,,"Interpolasi Linear + Domain Expert — ITF (7) + MinMaxScaler [0, 1] + Fungsi Reaksi Kebijakan (Taylor/ITF) + Persistensi"
E041,interpolate,domain_itf,robust,none,RF,1.3168382667926877,24.076543444138657,-0.8784704356285113,1.451934192539052,29.49237907021718,-1.6750764730729388,,Interpolasi Linear + Domain Expert — ITF (7) + RobustScaler (IQR) + Tanpa Feature Engineering
E041,interpolate,domain_itf,robust,none,XGBoost,1.1114717538394463,17.70569287264013,-0.33824721417244086,1.6901185353529395,33.46462040813506,-2.6247383725536637,,Interpolasi Linear + Domain Expert — ITF (7) + RobustScaler (IQR) + Tanpa Feature Engineering
E042,interpolate,domain_itf,robust,lag,RF,1.5391850731893506,29.81002849188928,-1.8459660174925405,1.779949361066859,37.41956021420141,-2.7318907225077633,,"Interpolasi Linear + Domain Expert — ITF (7) + RobustScaler (IQR) + Lag Features (t-1, t-3, t-6)"
E042,interpolate,domain_itf,robust,lag,XGBoost,0.9597639238823777,14.960889145114429,-0.10656484020275503,1.8269082601091724,37.27149542798557,-2.9313988211299615,,"Interpolasi Linear + Domain Expert — ITF (7) + RobustScaler (IQR) + Lag Features (t-1, t-3, t-6)"
E043,interpolate,domain_itf,robust,rolling,RF,0.9684970470506492,16.821331358728195,-0.06589630663438761,1.178397249873126,23.895477671335165,-0.7112089862059516,,"Interpolasi Linear + Domain Expert — ITF (7) + RobustScaler (IQR) + Rolling Mean & Std (3, 6)"
E043,interpolate,domain_itf,robust,rolling,XGBoost,1.0692316748246986,19.22679222449468,-0.299158045341386,1.4760359594018035,30.21286507045251,-1.6848095722983176,,"Interpolasi Linear + Domain Expert — ITF (7) + RobustScaler (IQR) + Rolling Mean & Std (3, 6)"
E044,interpolate,domain_itf,robust,lag_rolling,RF,1.4909477407710756,29.447228866584602,-1.5260573024294426,1.700334937937618,36.78239841877857,-2.5627764171231657,,"Interpolasi Linear + Domain Expert — ITF (7) + RobustScaler (IQR) + Lag (1,3) + Rolling (6)"
E044,interpolate,domain_itf,robust,lag_rolling,XGBoost,1.123322786374506,19.28947465332453,-0.4339284869261224,1.6627150562378994,33.180349677154865,-2.406867713420016,,"Interpolasi Linear + Domain Expert — ITF (7) + RobustScaler (IQR) + Lag (1,3) + Rolling (6)"
E045,interpolate,domain_itf,robust,diff,RF,1.2700043481192527,21.710158325988495,-0.8328577967104449,1.3990872292652803,27.88010732586127,-1.412177134945157,,Interpolasi Linear + Domain Expert — ITF (7) + RobustScaler (IQR) + First Difference
E045,interpolate,domain_itf,robust,diff,XGBoost,0.9824747990634046,16.117536871886813,-0.09688524434148738,1.5474942372306149,31.262184554099225,-1.9510576416978114,,Interpolasi Linear + Domain Expert — ITF (7) + RobustScaler (IQR) + First Difference
E046,interpolate,domain_itf,robust,interaction,RF,1.6104886485446983,31.03611295960788,-1.8096668242018454,1.7164968697918488,35.56733726004606,-2.7387667152627446,,Interpolasi Linear + Domain Expert — ITF (7) + RobustScaler (IQR) + Fitur Interaksi Ekonomi
E046,interpolate,domain_itf,robust,interaction,XGBoost,1.197345504098686,20.598425674726784,-0.5530250574790374,1.696036351959583,33.53937030989164,-2.6501662820961913,,Interpolasi Linear + Domain Expert — ITF (7) + RobustScaler (IQR) + Fitur Interaksi Ekonomi
E047,interpolate,domain_itf,robust,calendar,RF,1.25163413836649,22.300459168505594,-0.6970486297353287,1.3634235709868303,27.047157875494925,-1.3588695911992468,,"Interpolasi Linear + Domain Expert — ITF (7) + RobustScaler (IQR) + Fitur Kalender (Bulan, Kuartal)"
E047,interpolate,domain_itf,robust,calendar,XGBoost,1.127348515263064,18.620747045943748,-0.3767525252439645,1.6716668715147747,33.13043654359156,-2.5460251201676978,,"Interpolasi Linear + Domain Expert — ITF (7) + RobustScaler (IQR) + Fitur Kalender (Bulan, Kuartal)"
E048,interpolate,domain_itf,robust,policy_reaction,RF,0.7208586551882608,12.722333376454845,0.37576479392543116,0.9081592945375999,18.780152450200845,0.028511445294687077,,Interpolasi Linear + Domain Expert — ITF (7) + RobustScaler (IQR) + Fungsi Reaksi Kebijakan (Taylor/ITF) + Persistensi
E048,interpolate,domain_itf,robust,policy_reaction,XGBoost,1.1701245714488093,21.85218254484177,-0.6447966866906929,1.1700463506227279,24.432119072642237,-0.6125743854004184,,Interpolasi Linear + Domain Expert — ITF (7) + RobustScaler (IQR) + Fungsi Reaksi Kebijakan (Taylor/ITF) + Persistensi
E049,interpolate,corr_top6,standard,none,RF,1.9447213693211265,38.54747501035551,-3.0968895916525243,2.129008956939347,45.3632593484957,-4.751714401578039,,Interpolasi Linear + Top-6 Korelasi Pearson + StandardScaler (Z-Score) + Tanpa Feature Engineering
E049,interpolate,corr_top6,standard,none,XGBoost,2.200241906858588,43.734743541545214,-4.24421334997613,2.3096993156611108,46.718231982016405,-5.769447547051983,,Interpolasi Linear + Top-6 Korelasi Pearson + StandardScaler (Z-Score) + Tanpa Feature Engineering
E050,interpolate,corr_top6,standard,lag,RF,1.8855244215656757,36.9769418898398,-3.270830619514247,2.1207464681715313,45.78671278474998,-4.297745961928274,,"Interpolasi Linear + Top-6 Korelasi Pearson + StandardScaler (Z-Score) + Lag Features (t-1, t-3, t-6)"
E050,interpolate,corr_top6,standard,lag,XGBoost,1.8343617083020192,33.82720017136997,-3.042201661077253,2.328244781041999,49.14802720850253,-5.3851470061734155,,"Interpolasi Linear + Top-6 Korelasi Pearson + StandardScaler (Z-Score) + Lag Features (t-1, t-3, t-6)"
